slug,type,ref,title,date,scope,permalink,image_url
wmcr-vaux-1n-v653-na-0505,NA,V653 / NA - 505,#11 [file title],1906,"Moraine Lake area, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions36098,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0505.jpg
wmcr-vaux-1n-v653-na-0506,NA,V653 / NA - 506,#11 [file title],1906,"Moraine Lake area, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions36099,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0506.jpg
wmcr-vaux-1n-v653-na-0507,NA,V653 / NA - 507,#11 [file title],1906,"Moraine Lake area, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions36100,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0507.jpg
wmcr-vaux-1n-v653-na-0508,NA,V653 / NA - 508,#11 [file title],1906,"Moraine Lake area, Rocky Mountains",https://archives.whyte.org/en/permalink/descriptions36101,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0508.jpg
wmcr-vaux-1v-v653-ps-167,PS,V653 / PS - 167,Androsace carinata,[between 1900 and 1906],,https://archives.whyte.org/en/permalink/descriptions34264,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1v-v653-ps-167.jpg
wmcr-vaux-1n-v653-na-0477,NA,V653 / NA - 477,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Alpine Club of  camp at Summit Lake Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35038,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0477.jpg
wmcr-vaux-1n-v653-na-0485,NA,V653 / NA - 485,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Riders preparing to depart Lake Louise Chalet,https://archives.whyte.org/en/permalink/descriptions35041,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0485.jpg
wmcr-vaux-1n-v653-na-0478,NA,V653 / NA - 478,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Alpine Club of  camp at Summit Lake Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35921,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0478.jpg
wmcr-vaux-1n-v653-na-0479,NA,V653 / NA - 479,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Alpine Club of  camp at Summit Lake Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35922,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0479.jpg
wmcr-vaux-1n-v653-na-0482,NA,V653 / NA - 482,"Asulkan, Burgess Pass #9, to Summit Lake 1906 [trip : file title]",1906,Alpine Club of  camp at Summit Lake Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35923,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-0482.jpg
