ps_slug,type,ref,title,date,scope,permalink,image_url
wmcr-vaux-1n-v653-na-1402,NA,V653 / NA - 1402,"Test picture, Wapta Glacier (No.15) 1906",1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions36825,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1402.jpg
wmcr-vaux-1n-v653-na-1444,NA,V653 / NA - 1444,Test pictures of Illecillewaet Glacier (No.59) --1906,1906,Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions35073,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1444.jpg
wmcr-vaux-1n-v653-na-1446,NA,V653 / NA - 1446,Test pictures of Illecillewaet Glacier (No.61) --1906,1906,Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions36829,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1446.jpg
wmcr-vaux-1n-v653-na-1447,NA,V653 / NA - 1447,Test pictures of Illecillewaet Glacier (No.62) --1906,1906,Selkirk Mountains,https://archives.whyte.org/en/permalink/descriptions36830,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1447.jpg
,?,M107 / II / B / 9,[untitled],1888 - 1906,Sub-series consists of letters addressed to George Vaux Jr. from the Canadian Pacific Railway and the Appalachia Mountain Club. Also included are documents pertaining to the Geographic congress and a manuscript by George Vaux Jr. titled Glacier Observations.,https://archives.whyte.org/en/permalink/descriptions24708,
,?,"M107 / II / C - 13 / O.S. / ""F""",[untitled],1906,"1 map; Tongue and Moraines of the Illecillewaet Glacier, British Columbia. July 1906.
By George Vaux Jr. and William Vaux.",https://archives.whyte.org/en/permalink/descriptions24786,
,?,"M107 / III / D - 8 / O.S. / ""F""",[untitled],ca. 1906,"1 map; Tongue and Moraines, Asulkan Glacier. 1906 [reverse blueprint; reverse mirror] [Attributted to William Vaux Jr.] 46cm X 43cm.",https://archives.whyte.org/en/permalink/descriptions24795,
,?,"M107 / III / D - 9 / O.S. / ""F""",[untitled],ca. 1906,"1 map; Tongue and Moraines, Asulkan Glacier. 1906 [reverse blueprint; reverse mirror] [Attributted to William Vaux Jr.] Printed on linen paper, 46cm X 43cm.",https://archives.whyte.org/en/permalink/descriptions24796,
,?,"M107 / III / D  10 / O.S. / ""F""",[untitled],ca. 1906,"1 map; Tongue and Moraines, Asulkan Glacier. 1906 [reverse blueprint; reverse mirror] [Attributted to William Vaux Jr.] Printed with blue ink, 46cm x 43cm.",https://archives.whyte.org/en/permalink/descriptions24797,
,?,"M107 / III / D - 17 / O.S. / ""F""",[untitled],1906,"1 map; Tongue and moraines of the Illecillewaet Glacier, British Columbia. Showing the position of marked rocks on Moraines and of line old plates placed on glacier to determine Rate of Flow. 1906. Drawing of Tongue and moraines of the Illecillewaet Glacier detailing movement between 1899 – 1906. 6…",https://archives.whyte.org/en/permalink/descriptions24803,
